FOODID;FOODNAME;LANG
940;OLUT, VAHVA, 7,5-8 TIL% ALKOHOLIA;FI
941;VIRVOITUSJUOMA, KOLAJUOMA LIGHT, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FI
942;KERMALIKÖÖRI, 15-17 TIL% ALKOHOLIA;FI
943;TUOREMEHUCAMPARI, KATKERODRINKKI;FI
944;IRISH COFFEE KAHVIJUOMA, 8 TIL%;FI
945;VIINIGLÖGI;FI
946;TÄRKKELYSSIIRAPPI, GLUKOOSISIIRAPPI;FI
947;BLOODY MARY TOMAATTIMEHUVODKA;FI
948;ROMMIKOLA;FI
949;SCREWDRIVER, TUOREMEHUVODKA;FI
950;GIN TONIC, 4 TIL%;FI
951;TOM COLLINS GINIDRINKKI;FI
952;DRY MARTINI GINIDRINKKI;FI
953;MUNATOTI;FI
1000;RUISVELLI, VESI, RUISJAUHO, SUOLAA;FI
1001;RUISVELLI, MEHU, RUISJAUHO, SUOLAA;FI
1002;RUISPUURO, VESI, RUISJAUHO, SUOLAA;FI
1003;RUISPUURO, MAITO, RUISJAUHO, SUOLAA;FI
1005;RUIS-PERUNAPUURO, VESI, SUOLAA;FI
1006;RUIS-MARJAPUURO, VESI, PUOLUKKA, SOKERI, SUOLAA;FI
1007;RUISPUURO, RUISJAUHO, PUOLUKKA, SOKERITON, SUOLAA;FI
1009;RUISLEIPÄ, PERINTEINEN, VESI, TÄYSJYVÄRUISJAUHO;FI
1011;SEKALEIPÄ, HAPANIMELÄLEIPÄ, PIIMÄ, VEHNÄ-, RUISJAUHO;FI
